"","City","X","long","lat"
"337","Arverne",5,-73.794652,40.59339
"338","Arvin",140,-118.890927142857,35.0945005
"339","Arvonia",1,-78.37685,37.71846
"340","Asbury",111,-75.2245943243243,40.5524527027027
"341","Asbury Park",42,-74.0593561904762,40.2467507142857
"342","Ascutney",1,-72.41451,43.40264
"343","Ash",1,-78.54639,34.09299
"344","Ash Fork",71,-112.620687323944,35.2427401408451
"345","Ash Grove",19,-93.6198531578947,37.2197994736842
"346","Ashaway",24,-71.7848495833333,41.4469908333333
"347","Ashburn",1155,-77.6588391255411,38.8241674632035
"348","Ashburnham",5,-71.91473,42.657382
"349","Ashby",45,-87.8320315555556,44.9194408888889
"350","Asheboro",40,-79.82459375,35.679688
"351","Asher",4,-96.9237025,34.9858475
"352","Asherton",2,-99.7345,28.428765
"353","Asheville",716,-82.577894650838,35.5694903072626
"354","Ashfield",3,-72.8054166666667,42.5296766666667
"355","Ashford",34,-78.4961908823529,40.7488847058824
"356","Ashkum",12,-87.9611666666667,40.8825333333333
"357","Ashland",1429,-104.969797823653,40.7281302729181
"358","Ashland City",13,-87.0094930769231,36.2932684615385
"359","Ashley",29,-82.7054179310345,40.5727896551724
"360","Ashley Falls",1,-73.30021,42.04741
"361","Ashtabula",12,-80.8053941666667,41.8354216666667
"362","Ashton",23,-89.8841065217391,41.415252173913
"363","Ashuelot",5,-72.45723,42.789762
"364","Ashville",57,-83.129990877193,38.0353396491228
"365","Askov",6,-92.7857516666667,46.2018483333333
"366","Aspen",4,-106.85295,39.2173825
"367","Aspers",5,-77.221278,39.96393
"368","Aspinwall",1,-79.90874,40.49153
"369","Assaria",1,-97.62181,38.68488
"370","Assonet",52,-71.0815982692308,41.7878007692308
"371","Astatula",2,-81.733775,28.70219
"372","Aston",112,-75.4123717857143,39.84648
"373","Astor",24,-81.5558645833333,29.1604858333333
"374","Astoria",959,-96.1641000521376,43.1778290093848
"375","Atalissa",13,-91.1525030769231,41.64612
"376","Atascadero",243,-120.68139218107,35.4805425102881
"377","Atascosa",7,-98.7257885714286,29.2562585714286
"378","Atco",24,-74.8853933333333,39.76872375
"379","Atglen",4,-75.9704975,39.946715
"380","Athena",19,-118.497826315789,45.8039168421053
"381","Athens",502,-85.8406798605578,35.0009235856574
"382","Atherton",44,-122.204106818182,37.4612179545455
"383","Athol",27,-90.3369677777778,44.76852
"384","Atkins",34,-86.2387367647059,37.7300179411765
"385","Atkinson",9,-74.0289355555555,41.7454944444444
"386","Atlanta",37591,-84.3958868787742,33.7894059266846
"387","Atlanta-Decatur",7,-84.23851,33.71565
